jurisdiction,citation_bill,short_title,status,enacted_date,effective_date,operative_date,who_regulated,hook,carve_outs,enforcer,private_suit,statutory_damages,cure_period,primary_url,class_collective,plaintiffs_together,fee_shifting,arbitration_class_waiver,notice_cure,nexus,out_of_state_actor,choice_of_law_forum,no_extraterritorial_clause,insurance_situs,thresholds,retroactivity,limitations_period,safe_harbor,local_preemption,criminal_overlay,litigation_status,federal_preemption,ai_definition,impact_assessment_discoverable,waiver_indemnity_ban,record_retention,last_checked,summary 
ND,"N.D.C.C. §§ 12.1-27.1-01(13), 12.1-27.1-03.3 (HB 1351 / 2025)",Computer-generated sexually expressive images,enacted (effective date treat 2025-08-01 default — confirm vs enrolled),2025-04-23 (governor signed),treat 2025-08-01 default (unconfirmed vs enrolled),same (unconfirmed),Person creating/distributing computer-generated sexually expressive images as defined,"Intimate/computer-generated images. Crime + PRA: greater of actual (incl. emotional distress) or statutory ≤$10,000 per defendant + gains + exemplary + fees.","As in HB 1351 / §§ 12.1-27.1-01(13), 12.1-27.1-03.3",Prosecuting authority; depicted plaintiff (PRA),"PRA — greater of actual (incl. ED) or statutory ≤$10,000/defendant + gains + exemplary + fees","statutory ≤$10,000 per defendant (or actual if greater) + gains + exemplary",none isolated,https://ndlegis.gov/assembly/69-2025/regular/bill-index/bi1351.html,silent,silent,yes (fees in PRA),silent,silent,silent,silent,silent,silent,n/a,none,silent,silent,silent,silent,also crime,silent,silent,Computer-generated sexually expressive images (§ 12.1-27.1-01(13)),silent,silent,silent,2026-09-02,"HB 1351 (signed 23 Apr 2025) amends §§ 12.1-27.1-01(13) and 12.1-27.1-03.3 for computer-generated sexually expressive images. Crime plus PRA: greater of actual damages (including emotional distress) or statutory up to $10,000 per defendant, plus gains, exemplary damages, and fees. Effective date treated as default 1 Aug 2025 (confirm vs enrolled)."
ND,"N.D.C.C. §§ 12.1-27.2-01, 12.1-27.2-04.1 (HB 1386 / enrolled 25.1064.05000)",Computer-generated CSAM possession,enacted (effective date treat 2025-08-01 default — confirm vs enrolled),2025 (enrolled 25.1064.05000),treat 2025-08-01 default (unconfirmed vs enrolled),same (unconfirmed),Person possessing computer-generated CSAM as defined,CSAM possession of computer-generated images. Class C felony; Class B with aggravators. No PRA.,As in enrolled HB 1386,Prosecuting authority,none,none (no PRA),none,https://ndlegis.gov/assembly/69-2025/regular/documents/25-1064-05000.pdf,silent,n/a (no PRA),silent,silent,silent,silent,silent,silent,silent,n/a,none,silent,silent,silent,silent,crime-only,silent,silent,"Computer-generated CSAM as in §§ 12.1-27.2-01, 12.1-27.2-04.1",silent,silent,silent,2026-09-02,HB 1386 (enrolled 25.1064.05000) covers possession of computer-generated CSAM. Class C felony; Class B with aggravators. No PRA. Effective date treated as default 1 Aug 2025 (confirm vs enrolled).
ND,N.D.C.C. ch. 26.1-36.12 (SB 2280 / 2025),Insurance prior authorization — adverse determinations by licensed physician or pharmacist,enacted; effective 2026-01-01,2025-04 (governor signed),2026-01-01,same,Insurers making prior-authorization adverse determinations under ch. 26.1-36.12,Insurance-code: adverse determinations must be made by a licensed physician or pharmacist. AI unsaid in the chapter.,As in ch. 26.1-36.12,Insurance Department / chapter remedies; no PRA isolated,none isolated,none (no PRA),none isolated,https://ndlegis.gov/cencode/t26-1c36-12.pdf,silent,n/a (no PRA),silent,silent,silent,silent,silent,silent,silent,yes,none,silent,silent,silent,silent,civil insurance-code,silent,silent,AI unsaid. Human licensed physician or pharmacist must make adverse determinations.,silent,silent,silent,2026-09-02,"SB 2280 (2025) enacts N.D.C.C. ch. 26.1-36.12, effective 1 Jan 2026. Prior-authorization adverse determinations must be made by a licensed physician or pharmacist. AI is unsaid. insurance_situs=yes. No PRA isolated. HB 1320 fraudulent deepfakes failed — not a row."
NE,"Neb. Rev. Stat. §§ 87-1101 et seq. (LB 1074, 2024) Data Privacy Act",Nebraska Data Privacy Act (profiling / ADS),in force,2024-04-17,2025-01-01,2025-01-01,"Controllers/processors that conduct business in NE or produce a product/service consumed by NE residents, process or sell personal data, and are not SBA small businesses (except 87-1118 small-business sensitive-data sale)",Consumer opt-out of solely automated profiling in furtherance of a decision that produces a legal or similarly significant effect; data-protection assessments for high-risk profiling; biometric data as sensitive (consent to process; small-business sale consent). No BIPA-style private liquidated damages.,"State/political subdivision; GLBA financial institution, affiliate, or Title V data; HIPAA covered entity/BA; nonprofit; IHE; electric/natural-gas utilities (87-1103(2)). Information exemptions in 87-1104.",Attorney General exclusive (87-1119),none,"AG civil penalty not to exceed $7,500 per violation after cure (87-1124); not a consumer PRA floor",30-day AG written notice/cure before action (87-1122); no sunset in compiled text reviewed,https://nebraskalegislature.gov/laws/statutes.php?statute=87-1103,silent,silent,AG may recover fees/expenses of investigation and action (87-1124),silent,AG 30-day cure (87-1122),conducts business in this state or produces a product or service consumed by residents of this state (87-1103(1)(a)),applies if produces product/service consumed by NE residents (87-1103(1)(a)),silent,silent,n/a — profiling legal-effect category may include insurance-type decisions; GLBA FI/data entity carve-out. Not an insurance-code UR statute.,not a small business under federal Small Business Act as of 2024-01-01 (87-1103(1)(c)),silent,silent,30-day cure; comparable other-law assessments may satisfy,silent,civil-only,silent,silent,"Profiling: any form of solely automated processing of personal data to evaluate/analyze/predict personal aspects (economic situation, health, preferences, interests, reliability, behavior, location, or movements) (87-1102(25))",AG may demand data-protection assessment via CID (87-1121); not a public-discovery clause,silent,silent,2026-09-02,"NDPA (in force 1 Jan 2025) gives NE consumers an opt-out of solely automated profiling that produces legal or similarly significant effects, plus assessments for high-risk profiling. Biometric data is sensitive (consent; no private liquidated BIPA). AG exclusive; $7,500/violation after a standing 30-day cure. GLBA FI/data and HIPAA CE/BA are entity-out. Not insurance-code UR."
NE,"Neb. Rev. Stat. §§ 25-3502–25-3505 (LB 371, 2025) Uniform Civil Remedies for Unauthorized Disclosure of Intimate Images Act (computer-generation amendment)",Intimate-image civil remedies — computer generation / digital manipulation,in force,2025-05-30,unconfirmed — NE default three months after adjournment unless specified; confirm slip effective clause,unconfirmed (treat as in force by 2026-09-02 if default ran; confirm),Person who intentionally discloses or threatens disclosure of a private intimate image,Depicted individual includes computer generation or digital manipulation; private includes images created by computer generation or digital manipulation without consent. Civil PRA for identifiable depicted individual who suffers harm.,25-3504 exceptions (existing uniform-act exemptions; not re-pulled this pass),private plaintiff; public enforcer unsaid in 25-3503,PRA,"presumed damages not to exceed $10,000 per defendant if actual damages hard to quantify (25-3505(a)(1)(B)); plus economic/noneconomic including emotional distress; plus defendant monetary gain",none in 25-3503/3505,https://nebraskalegislature.gov/laws/statutes.php?statute=25-3503,silent,silent,court may award prevailing plaintiff reasonable attorney fees and costs (25-3505(b)),silent,silent,silent in 25-3503,silent,silent,silent,n/a,none,silent,lead: 4 years from discovery under original uniform act / 25-3508 — confirm 25-3508 not amended by LB 371,silent,silent,civil-only (this chapter),silent,silent,no standalone AI definition; computer generation or digital manipulation (25-3503(a)(2)(C)),n/a,silent,silent,2026-09-02,"LB 371 (signed 30 May 2025) amends the uniform intimate-image civil act so identifiable depicted individuals include computer-generated or digitally manipulated images, and private includes those created that way without consent. Prevailing plaintiff: actual or presumed damages up to $10,000/defendant, disgorgement, fees, injunction. Slip PDF TLS-failed this pass; default effective date unconfirmed."
NE,"Ensuring Transparency in Prior Authorization Act (LB 77, 2025) sec. 12 (insurance code; compiled cite unconfirmed — ch. 44)",Prior-authorization utilization review — AI not sole basis,in force (if operative 2026-01-01 as in slip sec. 17 lead),2025-06-04,"unconfirmed — slip sec. 17: secs 1-5, 7-13 operative 2026-01-01 (lead; PDF TLS-failed this pass)",2026-01-01 (lead; confirm slip sec. 17),Utilization review agents (health carriers / prior authorization),"An artificial intelligence-based algorithm shall not be the sole basis of a UR agent decision to deny, delay, or modify health care services based in whole or in part on medical necessity. Disclose AI use to DOI, network providers, enrollees, and public website. DOI may audit automated UM systems.",silent in the AI section snippet,Department of Insurance (audit); other insurance-code penalties unconfirmed this pass,unconfirmed (none in the AI section snippet),none in the AI section snippet,silent,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB77.pdf,silent,silent,silent,silent,silent,silent,silent,silent,silent,yes,none,silent,silent,silent,silent,civil-only,silent,silent,statute uses artificial intelligence-based algorithm without a standalone definition in the quoted sec. 12,DOI audit of automated UM; not a public assessment,silent,silent,2026-09-02,"Insurance-code. LB 77 (signed 4 Jun 2025) bars AI-based algorithms as the sole basis to deny/delay/modify medical-necessity UR, requires public/provider/enrollee/DOI disclosure of AI use, and authorizes DOI audits of automated UM. Slip PDF TLS-failed; operative date 1 Jan 2026 is from sec. 17 lead. No PRA in the AI section snippet. Compiled section number unconfirmed."
NE,"Conversational Artificial Intelligence Safety Act (LB 525, 2026) secs. 12-18",Conversational AI Safety Act,delayed,2026-04-14,2026-04-14 (bill enacted; chatbot sections delayed),2027-07-01 (sections 12-18),Operators of public conversational AI services (definitions unconfirmed — slip/engrossed PDF TLS-failed),Conversational AI safety duties (disclosure if a reasonable person would think the service is human; crisis protocol; no professional mental/behavioral-health claims; minor protections — details unconfirmed without slip),Agricultural Data Privacy Act portions of the same bill skipped. Other carve-outs unconfirmed.,"unconfirmed (AG exclusive is a secondary lead, not a holding)",unconfirmed,unconfirmed (secondary dollar figures are not holdings),unconfirmed,https://nebraskalegislature.gov/FloorDocs/109/PDF/Engrossed/LB525.pdf,unconfirmed,unconfirmed,unconfirmed,silent,unconfirmed,unconfirmed,unconfirmed,silent,silent,n/a,unconfirmed,silent,silent,unconfirmed,silent,unconfirmed,silent,silent,unconfirmed — slip not retrieved (legislature TLS),unconfirmed,silent,silent,2026-09-02,"Governor signed LB 525 on 14 Apr 2026; Conversational AI Safety Act sections 12-18 operative 1 Jul 2027. Engrossed/slip PDF failed TLS from this host, so duties, AG exclusivity, and penalty dollars are unconfirmed and not taken from firm alerts. Row exists because the act is enacted."
AR,"Ark. Code §§ 4-75-1103, 4-75-1110, 4-75-1112 (Act 159 / HB 1071, 2025) Frank Broyles Publicity Rights Protection Act AI amendments",Publicity rights — AI photograph / voice / likeness,in force,2025-02-25 (APPROVED on act PDF),2025-08-03 (AR default 90th day after 2025-05-05 sine die; no emergency clause on the 3-page act),2025-08-03 (default),"Person making unauthorized commercial use of name, voice, signature, photograph, or likeness","Likeness, photograph, and voice definitions now include generation/simulation through artificial intelligence. Property rights not IP for 47 U.S.C. 230 (4-75-1112(b)).","Existing 4-75-1110 exemptions (news, etc.) not rewritten except actual-knowledge tweak for service providers regarding photograph, voice, or likeness",private plaintiff (4-75-1109),PRA,none in 4-75-1109 — actual damages plus attributable profits; no liquidated floor,none in 4-75-1109,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT159.pdf,silent,silent,silent in 4-75-1109,silent,silent,civil action in county where defendant resides or violation occurred (4-75-1109),silent,silent,silent,n/a,none,does not invalidate contracts transferring rights before or after 2016-08-22 (4-75-1112(a)(2)),silent in Act 159,service-provider exemption if no actual knowledge of violating photograph/voice/likeness (4-75-1110 as amended),silent,civil-only (this subchapter),silent,not IP for section 230 (4-75-1112(b)) — not a preemption clause,no standalone AI definition; generation through means of artificial intelligence in likeness/photograph/voice defs,n/a,silent,silent,2026-09-02,"Act 159 (approved 25 Feb 2025) folds AI-generated image/video/3D and AI-simulated voice into the Broyles publicity-rights definitions. Existing PRA: injunction, actual damages, and profits; no statutory floor, no fees in 1109. Default effective about 3 Aug 2025. States the rights are not IP for section 230."
AR,"Ark. Code §§ 5-14-139, 16-118-119 (Act 827 / HB 1529, 2025)",Deepfake visual material of a sexual nature — crime and civil action,in force,2025-04-17,2025-08-03 (default 90 days after sine die; no emergency on act),2025-08-03 (default),Person who knowingly creates or distributes nonconsensual deepfake visual material of an identifiable person; providers/developers of prompt-based image-generation technology used to create it,Crime: create/distribute deepfake visual material of identifiable person in a state of nudity or engaging in sexual conduct without consent. PRA vs creator or vs provider/developer of the image-generation tech. AG civil vs prompt-based image-gen provider/developer lacking reasonable safeguards.,Telecom/information/cable service providers (47 U.S.C. 153) for content provided by another (5-14-139(d)),prosecutors (crime); AG civil vs image-gen providers; injured person PRA,PRA,"none — actual, compensatory, punitive, injunctive, or other appropriate relief (16-118-119(b)(2)); no liquidated floor",none,https://webftp.blr.arkansas.gov/Home/FTPDocument?path=ACTS%2F2025R%2FPublic%2FSearchable%2FACT827.pdf,silent,silent,prevailing plaintiff shall be awarded reasonable attorney fees and costs (16-118-119(b)(3)),silent,silent,silent,silent,silent,silent,n/a,none,silent,silent,ICS/telecom for others content; AG action requires lack of reasonable safeguards on prompt-based image gen,silent,also crime — Class A misdemeanor first; Class D felony subsequent (5-14-139(c)),silent,silent,"Deepfake visual material: photograph/image/video/other visual that appears authentic of an identifiable person and is generated, modified, or adapted using technology to falsely depict appearance, voice, or conduct. AI unsaid in the definition.",n/a,silent,silent,2026-09-02,Act 827 (17 Apr 2025) criminalizes nonconsensual sexual deepfake visuals (A misd / D felony) and creates a PRA for actual/compensatory/punitive damages plus mandatory plaintiff fees against the creator or the image-gen provider/developer. AG may sue prompt-based image-gen providers without reasonable safeguards. Default effective about 3 Aug 2025.
AR,"Ark. Code § 25-1-128 (Act 848 / HB 1958, 2025)",Public-entity AI and automated-decision-tool policy,in force,2025-04-17,2025-08-03 (default),2025-08-03 (default),"Public entities (listed state departments, political subdivisions, public schools, IHEs, constitutional officers, highway/game commissions, etc.)",Must adopt an AI and automated-decision-tool policy defining authorized use and requiring an authorized human employee/designee to make any final employment decision regardless of AI/ADT recommendation; training; public availability of state-entity policies; disciplinary procedure.,Cybersecurity-policy training carve for political subdivisions only (not the AI policy duty). No private-sector coverage.,unconfirmed — internal disciplinary procedure; no PRA/AG clause in the amended subsections,none in the amended text,none,none,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT848.pdf,silent,silent,silent,silent,silent,public entity as defined (taxpayer-funded instrumentalities listed),n/a (Arkansas public entities),silent,silent,n/a,none,silent,silent,silent,silent,civil-only / internal discipline,silent,silent,"AI: machine-based system that can, based on a given set of human-defined objectives, make predictions, recommendations, or decisions influencing a real or virtual environment. Automated decision tool: system/service using AI specifically developed and marketed, or specifically modified, to make or be a controlling factor in making consequential decisions.",n/a,silent,silent,2026-09-02,"Act 848 (17 Apr 2025) requires listed public entities to adopt AI/ADT use policies with a human making every final employment decision, train staff, and (for state entities) make the policy available on request. Government-use only. No PRA. Default effective about 3 Aug 2025."
AR,"Ark. Code §§ 5-27-302, 5-27-304, 5-27-601, 5-27-602, 5-27-603, 5-27-609 (Act 977 / HB 1877, 2025)",Computer-generated images of a child — AI definition in exploitation offenses,in force,2025-04-22,2025-08-03 (default),2025-08-03 (default),"Persons who advertise, sell, distribute, possess, or view matter depicting a child in sexually explicit conduct, including computer-generated images indistinguishable from a child","Computer generated / computer generated image means produced, adapted, or modified in whole or in part through AI. Offenses cover images indistinguishable from an actual child. Crime track.",Law-enforcement investigation possession/viewing; ICS (47 U.S.C. 230) for others content and for good-faith adversarial testing with an AI developer to prevent prohibited generation (not personal/exploitative testing),criminal prosecution,none in Act 977,none (crime),none,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT977.pdf,n/a,n/a,n/a,silent,n/a,silent,silent,silent,silent,n/a,none,silent,silent,ICS adversarial-testing exception,silent,crime-only,silent,silent,"Computer generated means produced, adapted, or modified, in whole or in part, through the use of artificial intelligence. Indistinguishable: ordinary person would conclude the medium depicts an actual child; excludes drawing/cartoon/sculpture/painting.",n/a,silent,silent,2026-09-02,Act 977 (22 Apr 2025) defines computer-generated prohibited child imagery as AI-produced/adapted/modified and extends related offenses to indistinguishable synthetic images of a child. ICS red-team carve-out. Crime only. Default effective about 3 Aug 2025.
HI,"Haw. Rev. Stat. §§ 11-303, 11-304 (Act 191 / SB 2687, 2024)",Election materially deceptive media,in force,2024-07-03 (lead — GM 1292; confirm calendar day),upon approval,upon approval,"Person who recklessly distributes, or agrees to distribute, materially deceptive media in the even-year February-through-general-election window","Ban on reckless distribution of AI/GAN/digital-tech election advertisements that falsely depict speech/conduct, in reckless disregard of harm to candidate reputation/electoral prospects or changing voting behavior. Disclaimer safe harbor. Crime plus PRA for general/special damages and injunction.",Broadcaster/cable/DTH unless involved in creation; ICS/cloud/streaming for others content unless knowledge it is deceptive and intent to deceive a Hawaii resident; qualifying disclaimer plus original-source citation for edited media,"Campaign Spending Commission (fine or criminal referral); AG, CSC, county attorney/prosecutor (injunction); depicted individual/candidate/voter org (damages and injunction)",PRA (depicted individual including candidate; voter-interest organization) — general or special damages; also injunction PAG,"none for the underlying violation; civil fine not more than $1,000/day for violating a court order (11-304(b))",none,https://www.capitol.hawaii.gov/hrscurrent/Vol01_Ch0001-0042F/HRS0011/HRS_0011-0303.htm,silent,silent,court may award a prevailing party reasonable attorney fees and costs on damages action; may award fees to non-government plaintiff awarded permanent injunction,silent,disclaimer safe harbor (11-303(c)),intent to deceive a resident of the State is an ICS knowledge qualifier; distribution during HI election window,silent beyond ICS knowledge/intent-to-deceive-resident clause,silent,silent,n/a,none,silent,silent,qualifying disclaimer; news/broadcaster/ICS carves,silent,also crime — petty misdemeanor; misdemeanor within 5 years of prior; class C felony if intent to cause violence or bodily harm (11-303(d)-(f)),silent (secondary reports of litigation are not holdings),silent,"AI: machine-based system that can, for a given set of human-defined objectives, make predictions, recommendations, or decisions influencing real or virtual environments, using machine and human-based inputs to perceive, model, and infer. Materially deceptive media must be created by GAN/ML/CNN, AI, or digital technology.",n/a,silent,silent,2026-09-02,"Act 191 (2024, upon approval) bans reckless distribution of AI/GAN election deepfake ads from the first working day of February in even years through the general election, with a disclaimer safe harbor. Petty misd / misd / C felony. Depicted individuals, candidates, and voter orgs may sue for general/special damages and injunction; $1,000/day only for violating a court order. Fees discretionary."
HI,"Haw. Rev. Stat. new chapter (Act 247 / HB 2137 HD3 SD2 CD1, 2026) — compiled chapter number unconfirmed",Realistic digital imitations — civil deepfake,in force,2026-07-14 (GM 1349 / Act 247),2026-07-14 (upon approval),2026-07-14,Person who knowingly publishes a realistic AI-generated digital imitation of an identifiable individual without consent,"Unlawful to knowingly publish a realistic digital imitation used in an advertisement, causing harm, or used to commit fraud/defamation/harassment/other crime. PRA: injunction; up to $25,000 per advertisement or actual damages (reputational/emotional); punitive if malice; fees/costs. AG may seek injunction for broad public interest/widespread harm.",Parody/satire/commentary/criticism/scholarship/political or educational expression; news illustration; documentary/historical/biographical (incl. some fictionalization); ads for those works if relevant. Medium disseminating third-party content for the dissemination role only. Section 230 savings.,depicted individual or estate (10 years after death); AG for equitable relief in broad-harm cases,PRA,"up to $25,000 per advertisement or actual damages (plaintiff election in CD1 sec. -4(b)(2))",none,https://data.capitol.hawaii.gov/sessions/session2026/bills/HB2137_CD1_.HTM,silent,silent,reasonable attorneys fees and court costs to the individual/estate (CD1 sec. -4(b)(4)),silent,silent,silent beyond publication of imitation of an individual (CD1 does not state a HI-resident limit),silent,silent,silent,n/a,none,does not affect rights/duties/penalties/proceedings begun before effective date (Act sec. 4),does not extend chapter 657; estate may sue up to 10 years after death,expressive/news/historical exemptions; distributor medium exemption; section 230,silent,"civil-only (this act); publication used to commit other crimes is an element, not a new crime",silent,applies to fullest extent permitted by federal law; section 230 savings,"AI: machine-based system that can, for human-defined objectives, make predictions/recommendations/decisions influencing real or virtual environments (perceive/model/infer). Digital imitation: highly realistic AI-generated depiction/audio/video derived from identifying characteristics portraying voice/face/likeness in a work in which the individual did not perform or appear. Realistic: so lifelike a reasonable person would believe it authentic.",n/a,silent,silent,2026-09-02,"Act 247 (signed 14 Jul 2026, immediate) creates a civil ban on knowingly publishing nonconsensual realistic AI imitations in ads, causing harm, or used for fraud/defamation/harassment/crime. PRA: injunction, up to $25,000/ad or actuals, punitive for malice, fees. Parody/news/historical and distributor exemptions. Compiled HRS chapter number unconfirmed."
HI,"Haw. Rev. Stat. § 481B-__ (Act 248 / SB 3001 SD2 HD3 CD1, 2026) Artificial Intelligence Disclosure and Safety Act",AI Disclosure and Safety Act — AI companions,in force (duties upon approval; annual reports from 2028-01-01),2026-07-14 (GM 1350 / Act 248),2026-07-14 (upon approval),2026-07-14 (reports begin 2028-01-01),Operator who develops and makes available an AI companion to the public (app stores/search engines that merely provide access are not operators),"If a reasonable person would think the companion is human, clear conspicuous notice it is AI. Heightened minor disclosures (persistent or start-of-session plus hourly). Crisis protocol; no professional MH claims; no engagement-reward tricks or sexual outputs to known minors; annual DOH reports from 2028.",Developer of an AI model not liable for a third party companion built on it. App store/search engine mere access is not operator.,UDAP HRS 480-2 (public); express no PRA,none — nothing in this section shall be interpreted as creating a private right of action to enforce this section or to support a private right of action under any other law,none in Act 248; 480-2 public UDAP penalties not restated here (unconfirmed amounts),none in Act 248,https://data.capitol.hawaii.gov/sessions/session2026/bills/SB3001_CD1_.HTM,n/a (no PRA),n/a,silent in Act 248 (UDAP fee rules unimported),silent,silent,operators of AI companions; CD1 does not add a separate HI-user threshold beyond making available / interacting,silent,silent,silent,n/a,none,does not affect rights/duties/penalties/proceedings begun before effective date,silent,model-developer vs operator split,silent,civil-only (UDAP),silent,silent,"AI: engineered or machine-based system that varies in autonomy and can, for explicit or implicit objectives, infer from input how to generate outputs that can influence physical or virtual environments. AI companion: system using AI/GenAI/emotional-recognition designed to simulate a sustained human-like relationship (retain session prefs; unprompted emotion questions; ongoing personal dialogue).",n/a; annual aggregate reports to DOH Behavioral Health Administration (no user identifiers),silent,annual reports from 2028-01-01; no year-count retention for chats,2026-09-02,"Act 248 (14 Jul 2026, immediate) regulates public AI companions: human-perception disclosure, minor hourly reminders, crisis referrals, no MH-professional claims, minor sexual/engagement limits, DOH reports from 2028. Violations are 480-2 UDAP; express no PRA. Penalty dollars not in the CD1."
RI,"R.I. Gen. Laws § 11-64-3 (P.L. 2025, ch. 429 / S 0136; companion ch. 430 / H 5046)",Unauthorized dissemination of indecent material — digitization,in force,2025-07-02,2025-07-02 (upon passage),2025-07-02,"Person who intentionally disseminates, publishes, or sells a sexually explicit visual image of an identifiable person 18 or older, including images created by a digital device or altered by digitization","Crime covers images created by a digital device or altered by digitization, made/obtained under privacy circumstances or created without consent, disseminated without consent, with knowledge/reckless disregard of harm or intent to harass.",Voluntary public/commercial exposure; public-interest/scientific/educational; lawful public proceeding; law enforcement/legal/medical; public-concern/newsworthy/public-figure. ICS/information/telecom for others content. No sex-offender registration for this section.,criminal prosecution,none in ch. 429 as enrolled,"criminal fines: up to $1,000 first (misd); up to $3,000 subsequent (felony); threat/extortion felonies up to $5,000 — not a civil PRA floor",none,https://webserver.rilegislature.gov/PublicLaws/law25/law25429.htm,n/a,n/a,n/a,silent,n/a,offense committed in RI if any element or any harm to the depicted person occurs in this state (11-64-3(h)),yes if harm in RI or an element in RI,silent,silent,n/a,depicted person 18+,silent,silent,ICS/telecom; public-concern,silent,"crime-only — misd 1 year/$1,000 first; felony 3 years/$3,000 subsequent; threat/pay-to-remove felonies 5 years/$5,000",silent,silent,no AI definition; covers image created by a digital device or altered by digitization,n/a,silent,silent,2026-09-02,"P.L. 2025 ch. 429 (2 Jul 2025, immediate) expands RI indecent-image crime to digital-device-created and digitized/altered images of identifiable adults, with a harm-in-state nexus. Crime only; ICS carve; no PRA in the enrolled chapter."
RI,"R.I. Gen. Laws §§ 17-30-1, 17-30-2 (P.L. 2025, chs. 409 and 410 / H 5872 and S 0816)",Deceptive and fraudulent synthetic media in election communications,in force,2025-07-02,2025-07-02,2025-07-02,"Candidate, authorized campaign committee, PAC, party committee, or independent-expenditure entity","Within 90 days of an election, may not distribute deceptive synthetic media (GAN/digital-tech realistic false image/audio/video of appearance, speech, or conduct) unless it includes a disclosure that it was manipulated or generated by AI.",Disclosure safe harbor with specified size/duration/audio-interval rules. Does not regulate private citizens who are not IE makers (statute lists only political actors). Satire/parody — confirm remaining 17-30-1 subsections.,candidate PRA (injunction and damages). Board of Elections unsaid in 17-30-2.,PRA (candidate only),none — general or special damages; no floor,none,https://webserver.rilegislature.gov/Statutes/TITLE17/17-30/17-30-2.htm,silent,silent,court may award a prevailing party reasonable attorneys fees and costs (17-30-2(b)),silent,"disclosure exception is a safe harbor, not a cure letter",90 days of a RI election at which a candidate appears on the ballot,silent (covers listed political actors distributing in that window),silent,silent,n/a,none,silent,silent,AI disclosure; plaintiff must prove violation by clear and convincing evidence (17-30-2(c)),silent,civil-only (this chapter),silent,silent,"Synthetic media: image/audio/video of an individual appearance, speech, or conduct intentionally manipulated with GAN techniques or other digital technology to create a realistic but false image/audio/video. Disclosure refers to artificial intelligence.",n/a,silent,silent,2026-09-02,P.L. 2025 chs. 409/410 (2 Jul 2025) bar candidates/committees/IE spenders from undisclosed deceptive synthetic media within 90 days of an election. Candidates may seek injunction and general/special damages (C&C; fees discretionary). No liquidated floor. Not a general deepfake ban.
RI,"R.I. Gen. Laws ch. 23-106 or 23-108 (P.L. 2026, ch. 372 / S 2570A) Use of Artificial Intelligence by Healthcare Providers Notification Act",Healthcare AI scribe notification,in force,2026-06-22,2026-06-22 (upon passage),2026-06-22,Healthcare providers (listed licensed professionals) and healthcare facilities (section 23-17-2) that employ AI to document in-person or telehealth visits,Must notify patients of AI used solely to document the visit and review AI-generated documentation for accuracy after the visit. No other AI uses (imaging/CDS) are covered.,"Applies only to visit documentation, not other clinical AI",unconfirmed — no penalty/enforcer section in the enrolled chapter,unconfirmed (none in enrolled chapter),none in enrolled chapter,none,https://webserver.rilegislature.gov/PublicLaws/law26/law26372.htm,silent,silent,silent,silent,"patient notification is the duty, not a cure period",RI-licensed providers and RI healthcare facilities,silent,silent,silent,"n/a (provider documentation, not insurance UR)",none,silent,silent,silent,silent,civil-only (no crime in chapter),silent,silent,"any technology that can simulate human intelligence including NLP, training language models, RLHF, and machine learning systems",n/a,silent,silent,2026-09-02,"P.L. 2026 ch. 372 (22 Jun 2026, immediate) requires licensed providers and facilities using AI to document visits to notify the patient and review the note for accuracy. Enforcer/PRA/penalties unsaid. Compiled chapter number printed as 106108 on the public-law HTML (likely 23-106 or 23-108)."
